affiliation_id,institution_name,city,country_id
1,Berlin University,Berlin,5
2,Marburg University,Marburg,5
3,Munich University,Munich,5
4,Berlin University,Berlin,5
5,University College,Liverpool,11
6,Leiden University,Leiden,1
7,Amsterdam University,Amsterdam,1
8,Stockholm University,Stockholm,8
9,Finsen Medical Light Institute,Copenhagen,10
10,Ecole Polytechnique,Paris,2
11,,,
12,,,
